Address,Beds,Baths,Cars,Area,Date,Ptype,Latitude,Longitude,Price,Closest Station,Straight Distance (km)
"1 Albert Road Beecroft, NSW, 2119",5,2,4,904,2362,House: One Storey / Lowset,-33.7447959,151.0628973,1510000,Beecroft Station NSW,0.63228468
"2 Albert Road Beecroft, NSW, 2119",3,1,4,1088,1228,House: One Storey / Lowset,-33.7438703,151.0648211,1791000,Beecroft Station NSW,0.662662123
"3 Albert Road Beecroft, NSW, 2119",5,3,2,911,1361,House: One Storey / Lowset,-33.7448107,151.0626812,1603000,Beecroft Station NSW,0.64132148
"6 Albert Road Beecroft, NSW, 2119",4,3,3,1088,164,House,-33.7438998,151.0643985,2420000,Beecroft Station NSW,0.66913198
"8 Albert Road Beecroft, NSW, 2119",5,2,3,1088,5106,House: Two Storey / Highset,-33.74403,151.0641256,740000,Beecroft Station NSW,0.662750413
"9 Albert Road Beecroft, NSW, 2119",5,3,2,911,6277,House,-33.744935,151.062033,700000,Beecroft Station NSW,0.664207304
"12 Albert Road Beecroft, NSW, 2119",4,3,2,999,3839,House: One Storey / Lowset,-33.7442117,151.063193,999000,Beecroft Station NSW,0.676567146
"14 Albert Road Beecroft, NSW, 2119",4,2,3,934,2390,House,-33.7441943,151.062744,1262000,Beecroft Station NSW,0.697389679
"16 Albert Road Beecroft, NSW, 2119",3,3,2,930,2250,House,-33.7442348,151.0625789,1375000,Beecroft Station NSW,0.700993636
"19 Albert Road Beecroft, NSW, 2119",5,2,2,696,2504,House: One Storey / Lowset,-33.7449464,151.0613734,1185000,Beecroft Station NSW,0.701901018
"22 Albert Road Beecroft, NSW, 2119",4,2,2,561,5707,House,-33.7443752,151.062033,720000,Beecroft Station NSW,0.714709753
"27 Albert Road Beecroft, NSW, 2119",5,3,3,1126,2143,House: One Storey / Lowset,-33.7451836,151.0607365,2200000,Beecroft Station NSW,0.723625288
"29A Albert Road Beecroft, NSW, 2119",5,3,3,1856,3279,House: One Storey / Lowset,-33.7463626,151.0604926,1250000,Beecroft Station NSW,0.658509931
"29B Albert Road Beecroft, NSW, 2119",4,1,2,2340,1813,House,-33.745894,151.0604212,1250000,Beecroft Station NSW,0.694333146
"30-32 Albert Road Beecroft, NSW, 2119",5,3,3,746,1998,House: One Storey / Lowset,-33.7444904,151.0611609,1685000,Beecroft Station NSW,0.753181455
"31 Albert Road Beecroft, NSW, 2119",4,3,2,892,2355,House: One Storey / Lowset,-33.7451706,151.0603726,1385000,Beecroft Station NSW,0.749250453
"34 Albert Road Beecroft, NSW, 2119",4,3,2,1572,52,House: One Storey / Lowset,-33.744513,151.0608502,2420000,Beecroft Station NSW,0.770050034
"36 Albert Road Beecroft, NSW, 2119",4,2,2,951,1606,House: One Storey / Lowset,-33.7445211,151.0606021,1565000,Beecroft Station NSW,0.784829993
"38 Albert Road Beecroft, NSW, 2119",4,2,2,669,1270,House: One Storey / Lowset,-33.7445491,151.0604236,1791500,Beecroft Station NSW,0.793928058
"40 Albert Road Beecroft, NSW, 2119",4,2,2,1182,3331,House: One Storey / Lowset,-33.7446032,151.0600804,1100000,Beecroft Station NSW,0.812090108
"44 Albert Road Beecroft, NSW, 2119",3,2,2,740,1305,House: One Storey / Lowset,-33.7447822,151.059713,1691000,Beecroft Station NSW,0.823506962
"45 Albert Road Beecroft, NSW, 2119",4,2,1,778,612,House,-33.7453727,151.0588942,1810000,Beecroft Station NSW,0.84264222
"47 Albert Road Beecroft, NSW, 2119",4,2,1,1423,6507,House,-33.7457725,151.0588942,770000,Beecroft Station NSW,0.818156759
"49 Albert Road Beecroft, NSW, 2119",4,2,2,954,6958,House,-33.7453597,151.0585302,645000,Beecroft Station NSW,0.871322664
"51 Albert Road Beecroft, NSW, 2119",4,2,2,936,1088,House,-33.7453816,151.0583028,3350000,Beecroft Station NSW,0.887613744
"53 Albert Road Beecroft, NSW, 2119",5,3,2,1159,2251,House: One Storey / Lowset,-33.7453893,151.0580981,1520000,Beecroft Station NSW,0.903157568
"57 Albert Road Beecroft, NSW, 2119",7,4,1,1003,1756,House: One Storey / Lowset,-33.7455388,151.0576659,1530000,Beecroft Station NSW,0.92894507
"58 Albert Road Beecroft, NSW, 2119",5,3,3,863,3181,House,-33.7448425,151.058462,1150000,Beecroft Station NSW,0.909418814
"64 Albert Road Beecroft, NSW, 2119",4,3,2,792,3696,House,-33.7449688,151.0579389,1150000,Beecroft Station NSW,0.940923893
"2 Allerton Road Beecroft, NSW, 2119",4,3,3,847,3503,House: One Storey / Lowset,-33.7594746,151.0630793,1620000,Beecroft Station NSW,1.130651606
"2A Allerton Road Beecroft, NSW, 2119",4,2,1,743,2590,House: One Storey / Lowset,-33.7596432,151.0631221,770000,Beecroft Station NSW,1.147663719
